abandon	ship:7159
about	it:106983	that:52605	this:50801	me:17793	you:15829	the:15081	us:12057	what:9987	him:9039	time:7915	now:5016	them:3786	her:3039
absolutely	not:8402	nothing:4855	right:3947
actually	no:4383
admit	it:3475
afraid	of:11625	not:7924	so:7361
after	me:7435	them:6393	that:6325	him:5390	you:2830
afternoon	sir:6013
against	the:17169
ah	there:27393	thank:16557	come:16504	right:7896	well:5889	ha:5439	no:5270	yeah:4896	yes:2577
all	right:431540	of:54027	the:40847	there:38313	about:31999	this:28311	your:28180	my:26179	you:16540	for:16382	it:16149	gonna:15675	yours:15588	that:14361	gone:13537	over:11207	set:10950	in:7953	good:7687	alone:6892	day:6803	here:6666	did:5779	night:5604
allow	me:3447
almost	there:6057	done:5775
alright	then:6443
always	do:7046
an	eye:26534	idiot:16989	accident:14849	asshole:13423	hour:12742	ambulance:11420	emergency:9852	appointment:7579	attorney:7208	order:3023
and	what:41863	you:36502	one:27483	who:24039	why:22698	here:22403	so:21751	get:19989	me:18192	another:17671	dont:17546	sit:17309	do:16668	this:16465	thank:15570	for:14881	whats:14790	guess:14725	thats:13975	see:12640	then:12144	gentlemen:10154	mine:7850	him:7315
another	one:10013	thing:7535	time:5586
answer	is:15097	the:14239	it:11980	that:5548	me:2425
any	sense:15353	ideas:5138	news:4876	closer:4753	time:4233	more:4044	luck:3773	questions:2887
anybody	there:13820	else:5254	here:4815	home:3529
anyone	home:7207	there:5517	else:4107
anything	you:23404	about:15341	at:14737	wrong:11676	else:7594	stupid:7141
apology	accepted:5691
apparently	not:4598
appreciate	it:3462
are	you:1393123	we:214677	they:47694	the:36112	these:24582	so:15815	your:15710	for:14810	coming:7954	sir:7921	not:7651	beautiful:7037	welcome:6158	crazy:6121	things:6050	there:5977	here:5619	those:4200	ya:4184	right:3390
arent	you:10109
around	you:4438
arrest	him:4382
as	soon:26642	simple:25731	you:17855	that:14043	if:7565	always:6575	possible:6445	usual:5145
ashamed	of:15850
ask	me:13093	you:12515	her:5095	him:3338
asked	for:15423	you:7780
at	me:52829	this:43083	all:37006	that:20251	your:15563	you:14881	home:9470	these:7562	will:6952	once:6665	least:4977	yourself:4663	us:4199	ease:3444	last:3305	them:3103	it:2940	her:2853	him:2414
attention	please:11680
away	from:59694	sir:4626
aye	sir:13399	captain:5043
back	to:97528	it:15437	there:7803	away:6792	here:6009	soon:4266	up:2561	off:2489
bad	at:15188	is:13939	dog:7275	luck:6468	huh:5803	idea:5723	news:4218
based	on:17863
battle	stations:7650
be	all:174789	right:97925	kidding:49044	fine:38059	so:32476	okay:30817	careful:30346	in:27103	back:26534	ashamed:23983	here:21273	afraid:19085	nice:17944	with:16624	some:16594	great:15345	like:15056	my:13291	late:11300	seated:10409	damned:9967	there:9272	absurd:8025	continued:7781
beat	him:7235	it:3092
beats	me:4409
beautiful	isnt:17442
because	of:21559
been	too:17299	so:15707	up:15561	drinking:5926	doing:5719	here:4534
beg	your:14976
behave	yourself:6630
behind	your:22985	you:10469
believe	me:18498	that:14643	this:12364	it:9854
belong	here:7469
best	of:17891	friend:5887
betrayed	me:7405
big	deal:12993	mistake:7692	time:5689
birthday	to:13224
bite	me:6524
blame	me:6722
bless	you:6335
bloody	hell:2834
bon	voyage:7507
both	of:23371
bother	you:4496
bottoms	up:4992
break	it:13320
breaking	up:7915
breathe	in:7038
bring	him:14936	it:13080
brings	you:12254
broke	up:6967
buckle	up:7449
burn	it:5293
but	you:40255	its:23571	be:18109	thats:17473	not:17331	youre:16448	thank:16010	of:14646	dont:13680	still:6197	where:5982	wait:5927	sir:5612	then:5501	this:5140	no:4192	now:3995	what:2939	how:2930	why:2382
by	all:14298	the:13982	yourself:7933	me:7176	whom:4110	who:3853	that:3227
bye	now:13890	sweetie:7968	baby:6918	honey:5600	guys:4709	mom:4664	dad:4590
call	the:36882	me:34967	it:21209	you:14418	an:13763	him:11236	her:6040
called	me:7392
calm	down:29256
came	back:5585
can	you:223479	do:64198	we:31697	count:23498	say:21689	that:14639	have:13934	tell:12541	trust:12448	go:7502	wait:6484
cant	do:72877	be:53150	stay:29178	you:21021	go:19687	sleep:7819	leave:5339	wait:5250
care	of:70774
carry	on:2968
case	closed:5659
catch	you:16994	it:7573	up:6756	him:4050
cease	fire:3451
certainly	is:7541	sir:5516	not:3320
change	the:16920	of:16088
charge	here:6953
check	it:57160	this:12539
cheer	up:4456
cheering	and:16149
chill	out:5210
choice	is:16054
christs	sake:5679
close	the:12960	your:12678	enough:6223	it:5435
code	red:7574
come	on:527074	with:58600	and:53644	here:43250	in:40934	back:34775	to:21381	from:17090	near:16628	this:14766	any:14732	over:9505	quick:6389	up:5896	home:5805	now:5122	quickly:4597	down:3895	inside:3707	closer:3631	again:3093	out:2713	along:2695
coming	with:18342	right:15389	back:7450	up:4246	through:2960
consider	it:16083
cool	huh:7932	it:5286
copy	that:2293
could	you:44497	this:17171	make:16959	say:12568	be:8967
count	me:17194	on:15251
course	you:31787	he:28073	it:19692	of:14696	not:11314	sir:4277
cover	you:6720	me:3733
cuff	him:7433
cut	it:6834
dad	please:6440
damn	right:10389	it:9019	straight:5207	you:2710
dance	with:15818
dare	you:2391
darn	it:5733
day	is:16620	sir:5134
dead	body:5745
deal	with:15724
dear	god:8746
deep	breaths:7823
definitely	not:4316
deserve	it:4265
did	you:672768	he:81928	that:66232	it:62235	they:58504	this:47851	she:36712	the:20959	something:14135	not:13604	what:11216	we:7720	well:6294	great:6053	good:4098
didnt	you:80713	have:30460	do:17714	say:6255	work:4635	know:4086
difference	does:20638
dinners	ready:6667
disgust	me:6198
do	you:1249471	that:165638	we:144899	it:137248	this:97630	to:43935	what:28674	whatever:26185	now:22356	anything:21656	they:19184	sit:17799	with:16249	about:15042	my:13332	not:12725	tell:7458	something:7425	sir:6447
does	that:128418	it:108990	he:54105	she:15568	this:13090
doesnt	make:80098	work:22271	mean:17212	know:12746	matter:9342	it:5946
doing	here:59177	in:19450	down:15987	to:15815	this:14846	out:13198	man:11634	there:11368	good:7628	up:7316	tonight:6751	fine:6213	now:5325	great:3696	what:3213
done	is:14724	that:7425	here:4460
dont	you:158682	be:106757	know:97578	have:89212	do:86215	look:66667	even:57433	worry:56596	get:55980	talk:53278	tell:46889	mind:43853	hurt:43716	go:41655	come:41340	let:41225	kill:34644	think:30873	give:30733	listen:30294	touch:29410	change:26902	make:25365	call:24877
door	was:16806
doubt	about:15850
down	on:26663	here:17670	calm:16683	sit:16525	please:4701	there:3828
drink	to:15360	this:4983	it:4293	up:3764
drop	your:26368	the:19464	it:2492
duty	calls:6772
each	other:6788
earned	it:7058
easy	for:71468	does:16552	now:11971	boy:6578
eat	this:6777	up:5256	it:3750
eight	years:7352
else	is:23688	you:14894
end	of:21089
enjoy	your:16423	yourself:5395	it:4738
enough	of:17811	is:15587	already:6209
especially	you:7892
even	think:23458	know:15778	you:6646	mean:5452	close:4457	better:4291
evening	ladies:26891	gentlemen:7802	sir:3633
every	night:7519	time:4529	day:3256
everybody	knows:15683	does:7946	up:7609	down:5175	out:3269
everyone	knows:16455	out:7829
everything	will:40469	all:25398	is:14432	ok:12463	alright:7545	okay:5224
everythings	gonna:45128	all:16251	under:16251	okay:4906	fine:2687
exactly	right:7653
except	you:6614
excuse	me:85823	us:2850
explain	later:4531
eye	on:17124
eyes	open:5215
face	it:6354
fair	enough:2511
fall	in:5667	back:3020
false	alarm:5960
far	from:17516	so:15126	enough:7719	away:7666	out:7298
federal	agents:6205
feel	that:14698	it:12908	me:6677	better:4863
feeling	better:12209
feels	good:7632
figure	it:47534
find	out:34402	him:21541	it:18899	anything:12704	her:12116	me:9461	you:5778	them:5587
fine	by:17080	with:16854	thank:14998	thanks:5467
finish	him:6429	it:5280
fire	in:24319	at:16853	away:6934
first	things:15194	time:6974
five	four:36626	six:25281	seconds:7818	years:4857	minutes:2901
fix	it:11535
flatter	yourself:7533
follow	me:24346	my:17775	him:5453
following	me:6137
for	you:85814	your:66386	me:43420	the:31767	gods:27122	all:26647	what:22256	it:21575	this:20135	coming:19619	that:19206	christs:15568	everything:13641	how:13004	yourself:9464	instance:8016	sure:7395	him:7102	whom:6931	good:6471	example:5943	asking:5686	who:5681	us:5162
forget	it:20584	about:12960	that:11298	him:6333
forgive	me:5382
found	it:17462
four	three:26729	years:6169	five:5239
free	to:13287
from	me:14857	him:14092	her:13739	here:12759	it:7610	there:7033	you:6557	whom:5752	who:4324	where:4283	what:3588
further	questions:4658
game	on:7053	over:4584
gee	thanks:7618
gentlemen	please:6976
get	out:308492	the:96256	it:80093	used:72063	this:68874	back:51613	in:50365	on:48175	me:48138	him:45255	to:44955	away:40406	your:38043	them:37102	down:35356	us:34861	her:34707	rid:30985	outta:25726	off:22261	over:22007	that:20974	up:20438	an:17609
getting	out:24774	married:6301	away:5841	at:5379	late:3879
gimme	that:5790
give	me:109808	it:49785	them:26860	you:16795	up:10321
glad	to:42810	you:36634
